Index	Reagents	Products	Rule	Energy Change
59_0	['C(CC(C(C(CO)O)O)=O)=O', 'C=O']	['C(C(C(C(C(CO)O)O)=O)CO)=O']	Aldol Condensation	-10.04
59_1	['C(CC(C(C(CO)O)O)=O)=O', 'C=O']	['C(C(C(C(C(CO)O)O)=O)CO)=O']	Knoevenagel C	-10.04
63_0	['C(CC(C=O)O)(C(CO)O)=O', 'C=O']	['C(C(CO)C(C=O)O)(C(CO)O)=O']	Aldol Condensation	-22.87
63_1	['C(CC(C=O)O)(C(CO)O)=O', 'C=O']	['C(C(CO)C(C=O)O)(C(CO)O)=O']	Knoevenagel C	-22.87
65_0	['C(C(C(C=O)O)O)(CCO)=O', 'C=O']	['C(C(C(C=O)O)O)(C(CO)CO)=O']	Aldol Condensation	-22.87
65_1	['C(C(C(C=O)O)O)(CCO)=O', 'C=O']	['C(C(C(C=O)O)O)(C(CO)CO)=O']	Knoevenagel C	-22.87
67_0	['C(C(C(CC(CO)=O)O)O)=O', 'C=O']	['C(C(C(C(C(CO)=O)CO)O)O)=O']	Aldol Condensation	-22.87
67_1	['C(C(C(CC(CO)=O)O)O)=O', 'C=O']	['C(C(C(C(C(CO)=O)CO)O)O)=O']	Knoevenagel C	-22.87
69_0	['C(C(C(CC(CO)=O)O)O)=O', 'C=O']	['C(C(CO)O)(CC(C(C=O)O)O)=O']	Aldol Condensation	-29.6
69_1	['C(C(C(CC(CO)=O)O)O)=O', 'C=O']	['C(C(CO)O)(CC(C(C=O)O)O)=O']	Knoevenagel H	-29.6
71_0	['C(C(C(C(C(C)=O)O)O)O)=O', 'C=O']	['C(C(C(C(C=O)O)O)O)(CCO)=O']	Aldol Condensation	-25.21
73_0	['C(CC(C(C(C=O)O)O)O)=O', 'C=O']	['C(C(CO)C(C(C(C=O)O)O)O)=O']	Aldol Condensation	-22.87
73_1	['C(CC(C(C(C=O)O)O)O)=O', 'C=O']	['C(C(CO)C(C(C(C=O)O)O)O)=O']	Knoevenagel C	-22.87
75_0	['O', 'C(C(CC(C(CO)O)O)=O)=O']	['C(C(CC(C(CO)O)O)O)(O)=O']	Benzilic Acid Rearrangement	-15.27
75_1	['O', 'C(C(CC(C(CO)O)O)=O)=O']	['C(C(CC(C(CO)O)O)O)(O)=O']	Cannizarro 1	-15.27
101_0	['C(C(C(CC(CO)=O)O)O)=O']	['C(C(C=O)O)=O', 'C(C)(CO)=O']	Retro Aldol	-55.64
102_0	['C(C(C(C(C(C)=O)O)O)O)=O']	['C(CO)=O', 'C(C(C(C)=O)O)=O']	Retro Aldol	-43.58
102_1	['C(C(C(C(C(C)=O)O)O)O)=O']	['C(CO)=O', 'C(C(C(C)=O)O)=O']	Knoevenagel H (inv)	-43.58
103_0	['C(C(C(C(C(C)=O)O)O)O)=O']	['C(C(C=O)O)=O', 'C(C)(CO)=O']	Retro Aldol	-51.25
103_1	['C(C(C(C(C(C)=O)O)O)O)=O']	['C(C(C=O)O)=O', 'C(C)(CO)=O']	Knoevenagel H (inv)	-51.25
111_0	['C(C(C(CO)O)O)=O']	['C(CO)(C(CO)O)=O']	Keto-enol migration twice	-2.0
122_0	['C(CC(C=O)O)(C(CO)O)=O']	['C(C(CO)O)(CC(CO)=O)=O']	Keto-enol migration twice	-2.0
126_0	['C(C(C(C=O)O)O)(CCO)=O']	['C(CCO)(C(C(CO)=O)O)=O']	Keto-enol migration twice	-2.0
130_0	['C(C(C(CC(CO)=O)O)O)=O']	['C(CO)(C(CC(CO)=O)O)=O']	Keto-enol migration twice	-2.0
134_0	['C(C(C(C(C(C)=O)O)O)O)=O']	['C(C)(C(C(C(CO)=O)O)O)=O']	Keto-enol migration twice	-2.0
138_0	['C(CC(C(C(C=O)O)O)O)=O']	['C(CC(C(C(CO)=O)O)O)=O']	Keto-enol migration twice	-2.0
140_0	['C(CO)=O', 'CN']	['O', 'C(CNC)=O']	Amadori/Heyns Rearrangement	-32.86
142_0	['C(C(C(CO)O)O)=O', 'CN']	['O', 'C(CNC)(C(CO)O)=O']	Amadori/Heyns Rearrangement	-31.83
144_0	['C(CO)(C(C(C(CO)O)O)O)=O', 'CN']	['O', 'C(C(C(C(C(CO)O)O)O)NC)=O']	Amadori/Heyns Rearrangement	-21.1
146_0	['C(CO)(C(C(C(CO)O)O)O)=O', 'CN']	['O', 'C(C(C(CO)O)O)(C(CO)NC)=O']	Amadori/Heyns Rearrangement	-23.11
148_0	['CN', 'C(CC(C(C(CO)O)O)=O)=O']	['O', 'C(CC(C(C(CO)O)=O)NC)=O']	Amadori/Heyns Rearrangement	-10.28
154_0	['CN', 'C(CC(C=O)O)(C(CO)O)=O']	['O', 'C(C(CO)O)(CC(CNC)=O)=O']	Amadori/Heyns Rearrangement	-31.83
156_0	['CN', 'C(CC(C=O)O)(C(CO)O)=O']	['O', 'C(C(CC(C(CO)=O)NC)O)=O']	Amadori/Heyns Rearrangement	-23.11
158_0	['CN', 'C(C(C(C=O)O)O)(CCO)=O']	['O', 'C(CCO)(C(C(CNC)=O)O)=O']	Amadori/Heyns Rearrangement	-31.83
160_0	['CN', 'C(C(C(C=O)O)O)(CCO)=O']	['O', 'C(C(C(C(CCO)NC)=O)O)=O']	Amadori/Heyns Rearrangement	-23.11
162_0	['CN', 'C(C(C(CC(CO)=O)O)O)=O']	['O', 'C(CC(C(CNC)=O)O)(CO)=O']	Amadori/Heyns Rearrangement	-31.83
164_0	['CN', 'C(C(C(CC(CO)=O)O)O)=O']	['O', 'C(C(CC(C(C=O)O)O)NC)=O']	Amadori/Heyns Rearrangement	-21.1
166_0	['CN', 'C(C(C(C(C(C)=O)O)O)O)=O']	['O', 'C(C(C(C(CNC)=O)O)O)(C)=O']	Amadori/Heyns Rearrangement	-31.83
168_0	['CN', 'C(C(C(C(C(C)=O)O)O)O)=O']	['O', 'C(C(C(C=O)O)O)(C(C)NC)=O']	Amadori/Heyns Rearrangement	-23.11
170_0	['CN', 'C(CC(C(C(C=O)O)O)O)=O']	['O', 'C(CC(C(C(CNC)=O)O)O)=O']	Amadori/Heyns Rearrangement	-31.83
172_0	['C(CN)(O)=O', 'C(CO)=O']	['O', 'C(CNCC(O)=O)=O']	Amadori/Heyns Rearrangement	-20.72
174_0	['C(CN)(O)=O', 'C(C(C(CO)O)O)=O']	['O', 'C(CNCC(O)=O)(C(CO)O)=O']	Amadori/Heyns Rearrangement	-19.69
176_0	['C(C(C(C(C(CO)O)O)O)O)=O', 'CN']	['O', 'C(CNC)(C(C(C(CO)O)O)O)=O']	Amadori/Heyns Rearrangement	-31.83
178_0	['C(C(C(C(C(CO)O)O)O)O)=O', 'O', 'C(CO)=O']	['C(C(C(C(C(CO)O)O)O)O)(O)=O', 'C(CO)O']	Cannizarro 2, glucose (oxidation)	-20.29
180_0	['C(C(C(C(C(CO)O)O)O)O)=O', 'O', 'C(C(C(CO)O)O)=O']	['C(C(C(C(C(CO)O)O)O)O)(O)=O', 'C(C(C(CO)O)O)O']	Cannizarro 2, glucose (oxidation)	-17.27
182_0	['C(C(C(C(C(CO)O)O)O)O)=O', 'O', 'C(C(CC(C(CO)O)O)=O)=O']	['C(C(C(C(C(CO)O)O)O)O)(O)=O', 'C(CO)(CC(C(CO)O)O)=O']	Cannizarro 2, glucose (oxidation)	-17.27
184_0	['C(C(C(C(C(CO)O)O)O)O)=O', 'O', 'C(CC(C(C(CO)O)O)=O)=O']	['C(C(C(C(C(CO)O)O)O)O)(O)=O', 'C(C(C(CO)O)O)(CCO)=O']	Cannizarro 2, glucose (oxidation)	-4.44
187_0	['C(C(C(C(C(CO)O)O)O)O)=O', 'O', 'C(CC(C=O)O)(C(CO)O)=O']	['C(C(C(C(C(CO)O)O)O)O)(O)=O', 'C(C(CO)O)(CC(CO)O)=O']	Cannizarro 2, glucose (oxidation)	-17.27
188_0	['C(C(C(C(C(CO)O)O)O)O)=O', 'O', 'C(C(C(C=O)O)O)(CCO)=O']	['C(C(C(C(C(CO)O)O)O)O)(O)=O', 'C(C(C(CO)O)O)(CCO)=O']	Cannizarro 2, glucose (oxidation)	-17.27
189_0	['C(C(C(C(C(CO)O)O)O)O)=O', 'O', 'C(C(C(CC(CO)=O)O)O)=O']	['C(C(C(C(C(CO)O)O)O)O)(O)=O', 'C(CO)(CC(C(CO)O)O)=O']	Cannizarro 2, glucose (oxidation)	-17.27
191_0	['C(C(C(C(C(CO)O)O)O)O)=O', 'O', 'C(C(C(C(C(C)=O)O)O)O)=O']	['C(C(C(C(C(CO)O)O)O)O)(O)=O', 'C(C)(C(C(C(CO)O)O)O)=O']	Cannizarro 2, glucose (oxidation)	-17.27
193_0	['C(C(C(C(C(CO)O)O)O)O)=O', 'O', 'C(CC(C(C(C=O)O)O)O)=O']	['C(C(C(C(C(CO)O)O)O)O)(O)=O', 'C(CC(C(C(CO)O)O)O)=O']	Cannizarro 2, glucose (oxidation)	-17.27
195_0	['C(C(C(C(C(CO)O)O)O)O)=O', 'O', 'C(CC(C(C(C=O)O)O)O)=O']	['C(C(C(C(C(CO)O)O)O)O)(O)=O', 'C(C(C(C(CCO)O)O)O)=O']	Cannizarro 2, glucose (oxidation)	-17.27
197_0	['C(C(C(C(C(CO)O)O)O)O)=O', 'O', 'C(C(O)=O)=O']	['C(C(C(C(C(CO)O)O)O)O)(O)=O', 'C(CO)(O)=O']	Cannizarro 2, glucose (oxidation)	-40.74
199_0	['C(C(C(C(C(CO)O)O)O)O)=O', 'O', 'C=O']	['C(C(C(C(C(CO)O)O)O)O)(O)=O', 'CO']	Cannizarro 2, glucose (oxidation)	-30.17
200_0	['C(C(C(C(C(CO)O)O)O)O)=O', 'O', 'C(CO)=O']	['C(C(C(C(C(CO)O)O)O)O)O', 'C(CO)(O)=O']	Cannizarro 2, glucose (reduction)	-40.02
202_0	['C(C(C(C(C(CO)O)O)O)O)=O', 'O', 'C(C(C(CO)O)O)=O']	['C(C(C(C(C(CO)O)O)O)O)O', 'C(C(C(CO)O)O)(O)=O']	Cannizarro 2, glucose (reduction)	-17.27
204_0	['C(C(C(C(C(CO)O)O)O)O)=O', 'O', 'C(C(CC(C(CO)O)O)=O)=O']	['C(C(C(C(C(CO)O)O)O)O)O', 'C(C(CC(C(CO)O)O)=O)(O)=O']	Cannizarro 2, glucose (reduction)	-17.27
206_0	['C(C(C(C(C(CO)O)O)O)O)=O', 'O', 'C(CC(C(C(CO)O)O)=O)=O']	['C(C(C(C(C(CO)O)O)O)O)O', 'C(CC(C(C(CO)O)O)=O)(O)=O']	Cannizarro 2, glucose (reduction)	-4.44
210_0	['C(C(C(C(C(CO)O)O)O)O)=O', 'O', 'C(CC(C=O)O)(C(CO)O)=O']	['C(C(C(C(C(CO)O)O)O)O)O', 'C(CC(C(O)=O)O)(C(CO)O)=O']	Cannizarro 2, glucose (reduction)	-17.27
212_0	['C(C(C(C(C(CO)O)O)O)O)=O', 'O', 'C(C(C(C=O)O)O)(CCO)=O']	['C(C(C(C(C(CO)O)O)O)O)O', 'C(C(C(C(O)=O)O)O)(CCO)=O']	Cannizarro 2, glucose (reduction)	-17.27
214_0	['C(C(C(C(C(CO)O)O)O)O)=O', 'O', 'C(C(C(CC(CO)=O)O)O)=O']	['C(C(C(C(C(CO)O)O)O)O)O', 'C(C(C(CC(CO)=O)O)O)(O)=O']	Cannizarro 2, glucose (reduction)	-17.27
216_0	['C(C(C(C(C(CO)O)O)O)O)=O', 'O', 'C(C(C(C(C(C)=O)O)O)O)=O']	['C(C(C(C(C(CO)O)O)O)O)O', 'C(C(C(C(C(C)=O)O)O)O)(O)=O']	Cannizarro 2, glucose (reduction)	-17.27
218_0	['C(C(C(C(C(CO)O)O)O)O)=O', 'O', 'C(CC(C(C(C=O)O)O)O)=O']	['C(C(C(C(C(CO)O)O)O)O)O', 'C(CC(C(C(C(O)=O)O)O)O)=O']	Cannizarro 2, glucose (reduction)	-17.27
220_0	['C(C(C(C(C(CO)O)O)O)O)=O', 'O', 'C(CC(C(C(C=O)O)O)O)=O']	['C(C(C(C(C(CO)O)O)O)O)O', 'C(CC(C(C(C=O)O)O)O)(O)=O']	Cannizarro 2, glucose (reduction)	-17.27
222_0	['C(C(C(C(C(CO)O)O)O)O)=O', 'O', 'C(C(O)=O)=O']	['C(C(C(C(C(CO)O)O)O)O)O', 'C(C(O)=O)(O)=O']	Cannizarro 2, glucose (reduction)	-3.65
224_0	['C(C(C(C(C(CO)O)O)O)O)=O', 'O', 'C=O']	['C(C(C(C(C(CO)O)O)O)O)O', 'C(O)=O']	Cannizarro 2, glucose (reduction)	-24.95
226_0	['C(CC(C=O)O)(C(CO)O)=O']	['C1(CC(C(C1(CO)O)O)O)=O']	Knoevenagel C	-91.59
226_1	['C(CC(C=O)O)(C(CO)O)=O']	['C1(CC(C(C1(CO)O)O)O)=O']	Knoevenagel H	-91.59
228_0	['C(CC(C(C(C=O)O)O)O)=O']	['C(C1(C(C(CC1O)O)O)O)=O']	Knoevenagel C	-71.84
228_1	['C(CC(C(C(C=O)O)O)O)=O']	['C(C1(C(C(CC1O)O)O)O)=O']	Knoevenagel H	-71.84
230_0	['C(CO)=O', 'C(C(C(CO)O)O)=O']	['C(C(C(CO)O)(C(CO)O)O)=O']	Knoevenagel C	-10.73
230_1	['C(CO)=O', 'C(C(C(CO)O)O)=O']	['C(C(C(CO)O)(C(CO)O)O)=O']	Knoevenagel H	-10.73
234_0	['C(C(C(CO)O)O)=O', 'C(C(O)=O)=O']	['C(C(C(CO)O)(C(C(O)=O)O)O)=O']	Knoevenagel C	-11.45
234_1	['C(C(C(CO)O)O)=O', 'C(C(O)=O)=O']	['C(C(C(CO)O)(C(C(O)=O)O)O)=O']	Knoevenagel H	-11.45
236_0	['C(C(C(CO)O)O)=O', 'C=O']	['C(C(CO)(C(CO)O)O)=O']	Knoevenagel C	-26.95
236_1	['C(C(C(CO)O)O)=O', 'C=O']	['C(C(CO)(C(CO)O)O)=O']	Knoevenagel H	-26.95
238_0	['C(CC(C(C(CO)O)O)=O)=O', 'C=O']	['C(CC(C(CO)(C(CO)O)O)=O)=O']	Knoevenagel C	-14.13
238_1	['C(CC(C(C(CO)O)O)=O)=O', 'C=O']	['C(CC(C(CO)(C(CO)O)O)=O)=O']	Knoevenagel H	-14.13
242_0	['C(CC(C=O)O)(C(CO)O)=O', 'C=O']	['C(CC(C=O)O)(C(CO)(CO)O)=O']	Knoevenagel C	-26.95
242_1	['C(CC(C=O)O)(C(CO)O)=O', 'C=O']	['C(CC(C=O)O)(C(CO)(CO)O)=O']	Knoevenagel H	-26.95
244_0	['C(C(C(C=O)O)O)(CCO)=O', 'C=O']	['C(C(CO)(C(C(CCO)=O)O)O)=O']	Knoevenagel C	-26.95
244_1	['C(C(C(C=O)O)O)(CCO)=O', 'C=O']	['C(C(CO)(C(C(CCO)=O)O)O)=O']	Knoevenagel H	-26.95
246_0	['C(C(C(C=O)O)O)(CCO)=O', 'C=O']	['C(C(CO)(C(C=O)O)O)(CCO)=O']	Knoevenagel C	-26.95
246_1	['C(C(C(C=O)O)O)(CCO)=O', 'C=O']	['C(C(CO)(C(C=O)O)O)(CCO)=O']	Knoevenagel H	-26.95
248_0	['C(C(C(CC(CO)=O)O)O)=O', 'C=O']	['C(C(CO)(C(CC(CO)=O)O)O)=O']	Knoevenagel C	-26.95
248_1	['C(C(C(CC(CO)=O)O)O)=O', 'C=O']	['C(C(CO)(C(CC(CO)=O)O)O)=O']	Knoevenagel H	-26.95
250_0	['C(C(C(C(C(C)=O)O)O)O)=O', 'C=O']	['C(C(CO)(C(C(C(C)=O)O)O)O)=O']	Knoevenagel C	-26.95
250_1	['C(C(C(C(C(C)=O)O)O)O)=O', 'C=O']	['C(C(CO)(C(C(C(C)=O)O)O)O)=O']	Knoevenagel H	-26.95
252_0	['C(C(C(C(C(C)=O)O)O)O)=O', 'C=O']	['C(C(C(C(C(C)=O)(CO)O)O)O)=O']	Knoevenagel C	-26.95
252_1	['C(C(C(C(C(C)=O)O)O)O)=O', 'C=O']	['C(C(C(C(C(C)=O)(CO)O)O)O)=O']	Knoevenagel H	-26.95
254_0	['C(CC(C(C(C=O)O)O)O)=O', 'C=O']	['C(C(CO)(C(C(CC=O)O)O)O)=O']	Knoevenagel C	-26.95
254_1	['C(CC(C(C(C=O)O)O)O)=O', 'C=O']	['C(C(CO)(C(C(CC=O)O)O)O)=O']	Knoevenagel H	-26.95
256_0	['C(CC(C=O)O)(C(CO)O)=O', 'C=O']	['C(C(CO)(CC(C(CO)O)=O)O)=O']	Knoevenagel H	-26.95
258_0	['C(CN)(O)=O', 'C(CO)=O']	['C(C(C(CO)O)N)(O)=O']	Knoevenagel H	-2.78
264_0	['C(CN)(O)=O', 'C(C(O)=O)=O']	['C(C(C(C(O)=O)N)O)(O)=O']	Knoevenagel H	-3.5
266_0	['C(CN)(O)=O', 'C=O']	['C(C(CO)N)(O)=O']	Knoevenagel H	-19.0
267_0	['C(C(C(C(C(CO)O)O)O)O)(O)=O']	['C(C(C(CO)O)O)=O', 'C(CO)(O)=O']	Knoevenagel H (inv)	-9.38
269_0	['C(CO)(C(C(C(CO)O)O)O)=O', 'CN']	['O', 'C(CO)(C(C(C(CO)O)O)NC)=O']	Amadori Rearrangement	-23.11
271_0	['CN', 'C(CC(C(C(CO)O)O)=O)=O']	['O', 'C(CC(C(C(CO)O)NC)=O)=O']	Amadori Rearrangement	-18.46
275_0	['CN', 'C(CC(C=O)O)(C(CO)O)=O']	['O', 'C(CC(C=O)O)(C(CO)NC)=O']	Amadori Rearrangement	-23.11
277_0	['CN', 'C(C(C(C=O)O)O)(CCO)=O']	['O', 'C(C(C(C=O)O)NC)(CCO)=O']	Amadori Rearrangement	-23.11
277_1	['CN', 'C(C(C(C=O)O)O)(CCO)=O']	['O', 'C(C(C(C=O)O)NC)(CCO)=O']	Mannich Addition	-23.11
279_0	['CN', 'C(C(C(C(C(C)=O)O)O)O)=O']	['O', 'C(C(C(C(C(C)=O)NC)O)O)=O']	Amadori Rearrangement	-23.11
281_0	['C(CN)(O)=O', 'C(C(CC(C(CO)O)O)=O)=O']	['C(=O)=O', 'C=O', 'C(C(CC(C(CO)O)O)N)=O']	Strecker Degradation Dicarbonyl, H, H, H, C	-22.69
283_0	['C(CN)(O)=O', 'C(C(CC(C(CO)O)O)=O)=O']	['C(=O)=O', 'C=O', 'C(CN)(CC(C(CO)O)O)=O']	Strecker Degradation Dicarbonyl, H, H, C, H	-31.42
285_0	['C(C(C(CO)O)O)=O']	['O', 'C(C(CCO)=O)=O']	Elimination + enol to keto	-41.01
286_0	['C(C(C(CO)O)O)=O']	['O', 'C(CC(CO)=O)=O']	Elimination + enol to keto	-49.2
287_0	['C(C(C(CO)O)O)=O']	['O', 'C(C(C(C)=O)O)=O']	Elimination + enol to keto	-102.36
288_0	['C(C(C(CO)O)O)=O']	['O', 'C(CC(C=O)O)=O']	Elimination + enol to keto	-39.01
289_0	['C(CO)(C(C(C(CO)O)O)O)=O']	['O', 'C(C(CO)=O)(CC(CO)O)=O']	Elimination + enol to keto	-41.01
290_0	['C(CO)(C(C(C(CO)O)O)O)=O']	['O', 'C(C(CO)O)(CC(CO)=O)=O']	Elimination + enol to keto	-41.01
291_0	['C(CO)(C(C(C(CO)O)O)O)=O']	['O', 'C(CCO)(C(C(CO)=O)O)=O']	Elimination + enol to keto	-41.01
292_0	['C(CO)(C(C(C(CO)O)O)O)=O']	['O', 'C(CO)(C(CC(CO)=O)O)=O']	Elimination + enol to keto	-41.01
293_0	['C(CO)(C(C(C(CO)O)O)O)=O']	['O', 'C(C)(C(C(C(CO)=O)O)O)=O']	Elimination + enol to keto	-45.4
294_0	['C(CO)(C(C(C(CO)O)O)O)=O']	['O', 'C(CC(C(C(CO)=O)O)O)=O']	Elimination + enol to keto	-39.01
295_0	['C(C(C(C(C(CO)O)O)O)O)(O)=O']	['O', 'C(C(CC(C(CO)O)O)=O)(O)=O']	Elimination + enol to keto	-41.01
296_0	['C(C(C(C(C(CO)O)O)O)O)(O)=O']	['O', 'C(CC(C(C(CO)O)O)=O)(O)=O']	Elimination + enol to keto	-41.01
297_0	['C(C(C(C(C(CO)O)O)O)O)(O)=O']	['O', 'C(C(C(CC(CO)O)=O)O)(O)=O']	Elimination + enol to keto	-41.01
298_0	['C(C(C(C(C(CO)O)O)O)O)(O)=O']	['O', 'C(CC(C(O)=O)O)(C(CO)O)=O']	Elimination + enol to keto	-41.01
299_0	['C(C(C(C(C(CO)O)O)O)O)(O)=O']	['O', 'C(C(C(C(O)=O)O)O)(CCO)=O']	Elimination + enol to keto	-41.01
300_0	['C(C(C(C(C(CO)O)O)O)O)(O)=O']	['O', 'C(C(C(CC(CO)=O)O)O)(O)=O']	Elimination + enol to keto	-41.01
301_0	['C(C(C(C(C(CO)O)O)O)O)(O)=O']	['O', 'C(C(C(C(C(C)=O)O)O)O)(O)=O']	Elimination + enol to keto	-45.4
302_0	['C(C(C(C(C(CO)O)O)O)O)(O)=O']	['O', 'C(CC(C(C(C(O)=O)O)O)O)=O']	Elimination + enol to keto	-39.01
303_0	['C(C(C(C(C(CO)O)O)O)O)O']	['O', 'C(CC(C(C(CO)O)O)O)=O']	Elimination + enol to keto	-39.01
304_0	['C(C(C(C(C(CO)O)O)O)O)O']	['O', 'C(C)(C(C(C(CO)O)O)O)=O']	Elimination + enol to keto	-45.4
305_0	['C(C(C(C(C(CO)O)O)O)O)O']	['O', 'C(CO)(CC(C(CO)O)O)=O']	Elimination + enol to keto	-41.01
306_0	['C(C(C(C(C(CO)O)O)O)O)O']	['O', 'C(C(C(CO)O)O)(CCO)=O']	Elimination + enol to keto	-41.01
307_0	['C(C(C(C(C(CO)O)O)O)O)O']	['O', 'C(C(CO)O)(CC(CO)O)=O']	Elimination + enol to keto	-41.01
309_0	['C(C(CC(C(CO)O)O)=O)=O']	['O', 'C(CCO)(CC(C=O)=O)=O']	Elimination + enol to keto	-49.2
311_0	['C(C(CC(C(CO)O)O)=O)=O']	['O', 'C(CO)(CCC(C=O)=O)=O']	Elimination + enol to keto	-41.01
313_0	['C(C(CC(C(CO)O)O)=O)=O']	['O', 'C(C)(C(CC(C=O)=O)O)=O']	Elimination + enol to keto	-45.4
315_0	['C(C(CC(C(CO)O)O)=O)=O']	['O', 'C(CC(CC(C=O)=O)O)=O']	Elimination + enol to keto	-39.01
317_0	['C(CC(C(C(CO)O)O)=O)=O']	['O', 'C(CC(C(CCO)=O)=O)=O']	Elimination + enol to keto	-36.37
319_0	['C(CC(C(C(CO)O)O)=O)=O']	['O', 'C(CC(CC(CO)=O)=O)=O']	Elimination + enol to keto	-36.37
321_0	['C(CC(C(C(CO)O)O)=O)=O']	['O', 'C(CC(C(C(C)=O)O)=O)=O']	Elimination + enol to keto	-89.53
