Generation	Smiles	Inchi	Energy	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness	No. Heteroatoms 	VDW Volume	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	Heteroatoms/Carbons	H/C	O/C	ESOL
G3	C(C(C(C)O)O)(C(CO)O)=O	IWASYLACXSGJPG	75.7726	-2.2503	-0.012	5	4	97.99	-0.13089	5	158.02	164.068473484	C6H12O5	6	12	5	0.8333333333333334	2.0	0.8333333333333334	0.9319384792383887
G3	C(CC(CO)(C(CO)O)O)=O	IDBTYBMNHBMAOU	56.9489	-2.315	0.201	5	4	97.99	-5.2062	5	161.16	164.068473484	C6H12O5	6	12	5	0.8333333333333334	2.0	0.8333333333333334	0.9342033464806009
G3	C(CC(C(CO)(CO)O)O)=O	HQMRFNOKWQUHQC	68.4619	-2.315	0.201	5	4	97.99	-3.4615	5	160.09	164.068473484	C6H12O5	6	12	5	0.8333333333333334	2.0	0.8333333333333334	0.9342033464806007
G3	C(C(C=O)C(C(CO)O)O)=O	AKTMIDGTSNJTSP	17.3953	-2.6896	-0.065	5	3	94.83	-3.2748	5	155.0	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.9011823161634097
G3	C(C(CC(C(CO)O)O)=O)=O	ZGCHLOWZNKRZSN	61.872	-2.3675	-0.119	5	3	94.83	-2.6094	5	154.91	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7943070996310865
G3	C(CC(C(CO)O)O)=O	ASJSAQIRZKANQN	40.2086	-1.7689	-0.197	4	3	77.76	-2.4886	4	133.16	134.0579088	C5H10O4	5	10	4	0.8	2.0	0.8	0.6565231605174416
G3	C(CC(C(C(CO)O)O)O)=O	VRYALKFFQXWPIH	61.0894	-2.3363	-0.068	5	4	97.99	-2.1384	5	159.17	164.068473484	C6H12O5	6	12	5	0.8333333333333334	2.0	0.8333333333333334	0.9353900248043464
G3	C(C(CO)O)(C(CO)O)=O	WXYXERHRDKEISL	72.9814	-2.6096	0.366	5	4	97.99	0.075465	5	139.42	150.05282342	C5H10O5	5	10	5	1.0	2.0	1.0	1.3128517714458556
G3	C(C(C(CO)(CO)O)O)=O	AVGPOAXYRRIZMM	80.7914	-2.7694	0.471	5	4	97.99	-4.2059	5	141.42	150.05282342	C5H10O5	5	10	5	1.0	2.0	1.0	1.3128517714458563
G3	C(CO)(C(C(CO)O)O)=O	ZAQJHHRNXZUBTE	93.3251	-2.6096	0.366	5	4	97.99	1.085	5	141.19	150.05282342	C5H10O5	5	10	5	1.0	2.0	1.0	1.312851771445856
G3	C(C(CCO)(C(C=O)O)O)=O	FAGPJBHKKUOQAR	69.7585	-2.5273	-0.014	5	3	94.83	-4.9991	5	154.96	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7943070996310865
G3	C(C(C(C=O)O)O)(CCO)=O	KTQQRSZBGCOSES	57.1446	-2.3675	-0.119	5	3	94.83	-3.6515	5	155.24	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7943070996310865
G3	C(C(C(CO)C(CO)O)=O)=O	JOEMRRCMXVASPX	30.5493	-2.5085	0.099	5	3	94.83	-2.373	5	153.24	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.8999956378396644
G3	C(CC(C(C(C=O)O)O)O)=O	DRFVLWXFACEMHK	67.8191	-2.5486	-0.283	5	3	94.83	-2.4079	5	155.18	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7954937779548318
G3	C(C(C(CC(C=O)O)O)O)=O	ZAZMXMODCOTURY	53.0784	-2.5486	-0.283	5	3	94.83	-3.4916	5	153.8	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7954937779548318
G3	C(C(C(CO)O)C(C=O)O)=O	HIPAGLNATSXMFT	37.1439	-2.6896	-0.065	5	3	94.83	-3.2038	5	153.93	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.9011823161634099
G3	C(C(C(CC(CO)=O)O)O)=O	ZNSXGNZNZVWMBM	50.5474	-2.3675	-0.119	5	3	94.83	-3.8216	5	151.73	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7943070996310865
G3	C(CC(CO)(C(C=O)O)O)=O	IEHDXMKHICIRFU	62.9686	-2.5273	-0.014	5	3	94.83	-5.3043	5	153.92	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7943070996310865
G3	C(C(C(CO)=O)C(CO)O)=O	SSUDYWNAIOLNKR	21.1855	-2.5085	0.099	5	3	94.83	-1.6738	5	154.5	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.8999956378396644
G3	C(CC(C(C(CO)O)O)=O)=O	RXVDSZVTHMJWNV	39.1213	-2.3675	-0.119	5	3	94.83	-1.8329	5	153.05	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7943070996310865
G3	C(C(C(C(C(C)=O)O)O)O)=O	MKKWPESNDMZCAX	80.2334	-2.4626	-0.227	5	3	94.83	-1.4318	5	153.93	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7920422323888738
G3	C(C(C(C)(C(C=O)O)O)O)=O	LTIXNERYDWMFRC	76.4195	-2.6224	-0.122	5	3	94.83	-0.55603	5	153.87	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7920422323888741
G3	C(C(C(CC(CO)O)=O)O)=O	QBHBJCPWTMMDIG	41.0947	-2.3675	-0.119	5	3	94.83	-5.4242	5	152.67	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7943070996310867
G3	C(C(CCO)O)(O)=O	UFYGCFHQAXXBCF	16.0805	-1.3388	-0.093	4	3	77.76	-2.4724	4	112.19	120.04225873600001	C4H8O4	4	8	4	1.0	2.0	1.0	0.3566140864860082
G3	C(C(C(C(CO)O)O)=O)=O	VDSAQEDKJUSZPS	75.1992	-2.8219	0.151	5	3	94.83	-2.2896	5	136.28	148.037173356	C5H8O5	5	8	5	1.0	1.6	1.0	1.1729555245963417
G3	C(C(C(C(CO)O)O)O)O	HEBKCHPVOIAQTA	70.2534	-2.5784	0.417	5	5	101.15	-0.73911	5	145.92	152.068473484	C5H12O5	5	12	5	1.0	2.4	1.0	1.4539346966191158
G3	C(C(CO)(CO)O)O	HXYJZJOQRLOUPP	66.0123	-1.9897	0.557	4	4	80.92	-4.2829	4	120.14	122.0579088	C4H10O4	4	10	4	1.0	2.5	1.0	1.1738811540084662
G3	C(C(CO)(C(CO)O)O)O	SDXWEZQDLHNYFR	80.7753	-2.5571	0.686	5	5	101.15	-2.033	5	147.65	152.068473484	C5H12O5	5	12	5	1.0	2.4	1.0	1.4527480182953705
G3	C(C(CO)(CO)O)(O)=O	OJSKBWPAXWEHAA	57.205	-2.3393	0.575	5	4	97.99	-0.8415	5	122.11	136.037173356	C4H8O5	4	8	5	1.25	2.0	1.25	1.0129426974144224
G3	C(CO)(C(CO)(C(C)O)O)=O	CLUAZGGJJOMMPW	88.276	-2.229	0.257	5	4	97.99	1.4137	5	160.06	164.068473484	C6H12O5	6	12	5	0.8333333333333334	2.0	0.8333333333333334	0.9307518009146429
G3	C(C(CO)(C(C)O)O)(O)=O	WKRKESUWTIYINN	58.2522	-1.98	0.197	5	4	97.99	0.77366	5	141.53	150.05282342	C5H10O5	5	10	5	1.0	2.0	1.0	0.6320294052069546
G3	C(C(CO)(C(C=O)O)O)=O	YAVWISVERGTOHY	71.6735	-2.9817	0.256	5	3	94.83	-2.7559	5	135.04	148.037173356	C5H8O5	5	8	5	1.0	1.6	1.0	1.1729555245963417
G3	C(C(CO)(C(CC=O)O)O)=O	KMZKNPYVLFCBJR	56.5187	-2.5273	-0.014	5	3	94.83	-2.1049	5	154.38	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7943070996310865
G3	C(C(CO)(C(C=O)(C)O)O)=O	LLKJMSOIEJAFOF	82.2598	-2.6011	0.147	5	3	94.83	-2.4059	5	154.73	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7908555540651285
G3	C(C(CO)(C(C(C)=O)O)O)=O	KSPZMTWVXVIPRP	70.8955	-2.4413	0.042	5	3	94.83	-1.4805	5	153.87	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7908555540651285
G3	C(C(CO)(C(C)O)O)=O	JQKDKERJPQSZLX	71.7534	-1.8427	-0.036	4	3	77.76	-3.2406	4	132.99	134.0579088	C5H10O4	5	10	4	0.8	2.0	0.8	0.6530716149514837
G3	C(C(C(CO)O)(C(C)O)O)=O	DXBKAMXGCDVWGR	90.5166	-2.4101	0.093	5	4	97.99	-2.8644	5	161.63	164.068473484	C6H12O5	6	12	5	0.8333333333333334	2.0	0.8333333333333334	0.9319384792383887
G3	C(CO)(C(CO)(CO)O)=O	KNWXMEXZFWGIPP	86.0623	-2.5883	0.635	5	4	97.99	0.20087	5	141.22	150.05282342	C5H10O5	5	10	5	1.0	2.0	1.0	1.3116650931221103
G3	C(C(C(C)=O)(C(CO)O)O)=O	UZMKAOBHDMJGHD	65.6341	-2.4413	0.042	5	3	94.83	-1.3297	5	155.15	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7908555540651285
G3	C(C(C(C=O)O)O)(O)=O	JYPFTOPPKDHQEW	43.989	-2.5729	0.091	5	3	94.83	-1.2721	5	115.72	134.021523292	C4H6O5	4	6	5	1.25	1.5	1.25	0.8742331288886533
G3	C(CC(C(C(O)=O)O)O)=O	WNQQMTOQQGYXCH	29.6651	-2.1185	-0.179	5	3	94.83	-0.6535	5	133.62	148.037173356	C5H8O5	5	8	5	1.0	1.6	1.0	0.49558470392339826
G3	C(C(C)(C(C(O)=O)O)O)=O	AZFXWNDHXWNFRE	20.6205	-2.1923	-0.018	5	3	94.83	-0.56246	5	131.17	148.037173356	C5H8O5	5	8	5	1.0	1.6	1.0	0.49213315835744037
G3	C(C(C(C(C)=O)O)O)(O)=O	HDGNQJMIIPXNJZ	39.1028	-2.0325	-0.123	5	3	94.83	1.8724	5	134.18	148.037173356	C5H8O5	5	8	5	1.0	1.6	1.0	0.49213315835744037
G3	C(C(C(C)O)O)(O)=O	LOUGYXZSURQALL	33.8389	-1.4339	-0.201	4	3	77.76	0.18323	4	112.1	120.04225873600001	C4H8O4	4	8	4	1.0	2.0	1.0	0.3543492192437957
G3	C(C(C(CO)O)(CC=O)O)=O	TXIVWMLJMZFCNJ	57.2663	-2.5273	-0.014	5	3	94.83	-3.3059	5	153.92	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7943070996310871
G3	C(CC(C=O)O)(C(CO)O)=O	LVYQXQPAYHNLQF	50.1139	-2.3675	-0.119	5	3	94.83	-1.9676	5	153.67	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7943070996310865
G3	C(C(CO)(CC(CO)=O)O)=O	RHBBDYUCVCIMPI	515.938	-2.3462	0.15	5	3	94.83	-5.3266	5		162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7931204213073412
G3	C(C(C(CCO)=O)(CO)O)=O	XXCROCVPGJNKKK	52.3331	-2.3462	0.15	5	3	94.83	-3.3085	5	155.42	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7931204213073412
G3	C(C(C(C(CO)O)=O)CO)=O	VSCZDXPKQZQUMT	19.9061	-2.5085	0.099	5	3	94.83	-2.1903	5	152.46	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.8999956378396646
G3	C(C(CC(CO)=O)O)(O)=O	YVXXPGROVYTBAL	19.3297	-1.9374	-0.015	5	3	94.83	-2.2187	5	133.7	148.037173356	C5H8O5	5	8	5	1.0	1.6	1.0	0.49439802559965285
G3	C(C(C(CCO)=O)O)(O)=O	GEKHDLNOKHNDDY	26.227	-1.9374	-0.015	5	3	94.83	-1.8864	5	133.53	148.037173356	C5H8O5	5	8	5	1.0	1.6	1.0	0.49439802559965307
G3	C(CC(C(CO)O)=O)(O)=O	FNWZJGILAMUKQY	2.07949	-1.9374	-0.015	5	3	94.83	-4.2435	5	134.7	148.037173356	C5H8O5	5	8	5	1.0	1.6	1.0	0.49439802559965285
G3	C(C(CC(CO)O)=O)(O)=O	UQIGQRSJIKIPKZ	33.9659	-1.9374	-0.015	5	3	94.83	-13.301	5	134.03	148.037173356	C5H8O5	5	8	5	1.0	1.6	1.0	0.49439802559965274
G3	C(C1C(C(C(O)O1)O)O)O	HMFHBZSHGGEWLO	71.2058	-2.1107	0.122	5	4	90.15	-2.9788	5	137.61	150.05282342	C5H10O5	5	10	5	1.0	2.0	1.0	1.1869443329732705
G3	C1C(C(C(O)O1)(CO)O)O	BFZQQKBQRCDWST	79.9106	-2.1374	0.391	5	4	90.15	-1.7197	5	137.63	150.05282342	C5H10O5	5	10	5	1.0	2.0	1.0	1.1857576546495243
G3	C1C(C(C(C(O)O1)O)O)O	SRBFZHDQGSBBOR	466.702	-2.0188	0.122	5	4	90.15	-5.0602	5	135.25	150.05282342	C5H10O5	5	10	5	1.0	2.0	1.0	1.1834927874073125
G3	C1(C(C(C(CO)O1)O)O)=O	CUOKHACJLGPRHD	70.0931	-2.3264	-0.046	5	3	86.99	-6.6215	5	130.49	148.037173356	C5H8O5	5	8	5	1.0	1.6	1.0	1.04586140780001
G3	C1(C(C(C(CO1)O)O)O)=O	XXBSUZSONOQQGK	74167.7	-2.2345	-0.046	5	3	86.99	-8.4355	5	140.29	148.037173356	C5H8O5	5	8	5	1.0	1.6	1.0	1.0424098622340519
G4	C1(C(C(C(C1O)O)O)O)=O	RPLBTYVHLJOBKZ	101.743	-2.4068	0.064	5	4	97.99	0.48676	5	129.76	148.037173356	C5H8O5	5	8	5	1.0	1.6	1.0	1.4972043298094913
G4	C(C1C(C(C(C1O)O)O)=O)=O	YWMHEJKIEFCJJV	39.5118	-2.4244	-0.203	5	3	94.83	-1.8551	5	141.76	160.037173356	C6H8O5	6	8	5	0.8333333333333334	1.3333333333333333	0.8333333333333334	1.0843481962033008
G4	C1(C(C(CC(C1O)O)O)O)=O	DNWNZFQXCIWUSQ	92.7679	-2.0648	-0.206	5	4	97.99	0.69015	5	146.67	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	1.1151043592782783
G4	C1(C(C(C(C)(C1O)O)O)O)=O	QCSROUGOTJEQJK	434.819	-2.1088	-0.045	5	4	97.99	2.6872	5	146.81	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	1.1151043592782783
G4	C1(C(C(C(CO)(C1)O)O)O)=O	UHQNRQMTZAQCBL	84.0329	-2.1834	0.063	5	4	97.99	-1.6374	5	149.38	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	1.117369226520491
G4	C(C1C(C(C(C1O)=O)CO)O)=O	QIEUDWQTLABOOV	18.3899	-2.2297	-0.255	5	3	94.83	-2.1992	5	161.66	174.05282342	C7H10O5	7	10	5	0.7142857142857143	1.4285714285714286	0.7142857142857143	0.8113883094466229
G4	C(C1C(C(C=O)C(C1O)O)O)=O	ZSMZKAQLWLFJMO	25.1513	-2.5857	-0.419	5	3	94.83	-3.1309	5	159.87	174.05282342	C7H10O5	7	10	5	0.7142857142857143	1.4285714285714286	0.7142857142857143	0.8125749877703689
G4	C(C1C(CC(C(C1O)O)=O)O)=O	AUPYDEHKCNYTSW	30.2735	-2.0824	-0.473	5	3	94.83	-0.88167	5	157.64	174.05282342	C7H10O5	7	10	5	0.7142857142857143	1.4285714285714286	0.7142857142857143	0.7022482256720869
G4	C(C1C(C(C(CC1O)O)O)=O)=O	YRTULFSSNUAODY	524.129	-2.0824	-0.473	5	3	94.83	-1.5595	5	163.12	174.05282342	C7H10O5	7	10	5	0.7142857142857143	1.4285714285714286	0.7142857142857143	0.7022482256720869
G4	C1(C(CO)C(C=O)(CC1O)O)=O	LMGIZDHHGOFZPU	33.3152	-2.201	-0.204	5	3	94.83	-1.9915	5	160.74	174.05282342	C7H10O5	7	10	5	0.7142857142857143	1.4285714285714286	0.7142857142857143	0.7045130929142996
G4	C1(C(C(C(C(C1)O)=O)CO)O)=O	SXWMINGTHUABIK	35.4567	-1.7264	-0.309	5	3	94.83	1.4724	5	158.68	174.05282342	C7H10O5	7	10	5	0.7142857142857143	1.4285714285714286	0.7142857142857143	0.7010615473483414
G4	C(C1(C(CO)C(C(C1)=O)O)O)=O	TXXBHPYMVGOHPZ	38.3288	-2.201	-0.204	5	3	94.83	-2.2413	5	161.84	174.05282342	C7H10O5	7	10	5	0.7142857142857143	1.4285714285714286	0.7142857142857143	0.7045130929142996
G4	C(C1C(C(CC1(C=O)O)O)O)=O	FIGJQDXEZHVUOS	37.0822	-2.557	-0.368	5	3	94.83	-3.0256	5	160.06	174.05282342	C7H10O5	7	10	5	0.7142857142857143	1.4285714285714286	0.7142857142857143	0.705699771238045
G4	C(C1C(C(CC(C1O)=O)O)O)=O	GMRKEEHCNPHRFK	25.1343	-2.0824	-0.473	5	3	94.83	-1.0707	5	160.76	174.05282342	C7H10O5	7	10	5	0.7142857142857143	1.4285714285714286	0.7142857142857143	0.7022482256720869
G4	C(C(C1C(C(CC1O)O)O)=O)=O	LXEPBSPLUZYIKY	47.7244	-2.3146	-0.473	5	3	94.83	-1.853	5	159.78	174.05282342	C7H10O5	7	10	5	0.7142857142857143	1.4285714285714286	0.7142857142857143	0.705699771238045
G4	C1(C(C(C(C1)O)C(C=O)O)O)=O	IRXAXBQTRSAYJV	35.726	-2.1397	-0.473	5	3	94.83	-0.8959	5	158.33	174.05282342	C7H10O5	7	10	5	0.7142857142857143	1.4285714285714286	0.7142857142857143	0.705699771238045
G4	C(C1(CC(CC(C1O)=O)O)O)=O	ARTFWEBDMQPPEL	54.8516	-2.0537	-0.422	5	3	94.83	-1.4176	5	160.67	174.05282342	C7H10O5	7	10	5	0.7142857142857143	1.4285714285714286	0.7142857142857143	0.5953730091397634
G4	C(CO)(C1C(CC(C1O)=O)O)=O	FZRWVEDGHRHXTC	35.4862	-1.9586	-0.309	5	3	94.83	1.9471	5	158.64	174.05282342	C7H10O5	7	10	5	0.7142857142857143	1.4285714285714286	0.7142857142857143	0.7045130929142996
G4	C1(C(C(C(CC(C1)O)=O)O)O)=O	DNSVTLFKOGIDGH	695.089	-1.5791	-0.527	5	3	94.83	1.6226	5		174.05282342	C7H10O5	7	10	5	0.7142857142857143	1.4285714285714286	0.7142857142857143	0.5919214635738055
G4	C(C1C(CO)(CC(C1O)=O)O)=O	XVHPLUHOTOURLI	27.9183	-2.201	-0.204	5	3	94.83	-4.1835	5	161.12	174.05282342	C7H10O5	7	10	5	0.7142857142857143	1.4285714285714286	0.7142857142857143	0.7045130929142996
G4	C(C1C(C(C(C1(C)O)O)O)=O)=O	WPAPXOCDBQCIPU	387.401	-2.1264	-0.312	5	3	94.83	0.44364	5	161.69	174.05282342	C7H10O5	7	10	5	0.7142857142857143	1.4285714285714286	0.7142857142857143	0.7022482256720869
G4	C(C1C(C(C(C)(C1O)O)O)=O)=O	DMLHUZOIIHWSRY	50.4512	-2.1264	-0.312	5	3	94.83	0.24133	5	160.29	174.05282342	C7H10O5	7	10	5	0.7142857142857143	1.4285714285714286	0.7142857142857143	0.7022482256720869
G4	C(CC1(C(C(C(C1)=O)O)O)O)=O	AEPUFZVZGQIGAD	77.3564	-1.9413	-0.422	5	3	94.83	-0.63515	5	162.39	174.05282342	C7H10O5	7	10	5	0.7142857142857143	1.4285714285714286	0.7142857142857143	0.5988245547057215
G4	C(C1(CC(C(C(C1)=O)O)O)O)=O	IACPYHVNAFOEMI	446.425	-2.0537	-0.422	5	3	94.83	-1.8764	5	158.15	174.05282342	C7H10O5	7	10	5	0.7142857142857143	1.4285714285714286	0.7142857142857143	0.5953730091397634
G4	C1(CC(C(CC(C1O)O)=O)O)=O	ZVWQVMHJCGGFNL	58.1	-1.5791	-0.527	5	3	94.83	1.4703	5	159.42	174.05282342	C7H10O5	7	10	5	0.7142857142857143	1.4285714285714286	0.7142857142857143	0.5919214635738055
G4	C1(C(CC(C(C=O)O)(C1)O)O)=O	MTTDGNKGKZLDMW	72.1662	-2.111	-0.422	5	3	94.83	-0.70887	5	160.66	174.05282342	C7H10O5	7	10	5	0.7142857142857143	1.4285714285714286	0.7142857142857143	0.5988245547057215
G4	C1(C(CC(C1CO)O)O)=O	ABOBCDUIJRUDLU	23.5761	-1.36	-0.387	4	3	77.76	0.85549	4	139.85	146.0579088	C6H10O4	6	10	4	0.6666666666666666	1.6666666666666667	0.6666666666666666	0.5667291538006545
G4	C(C1C(C(CC1O)O)O)=O	PPSMBMYANALASS	28.3772	-1.716	-0.551	4	3	77.76	-2.4416	4	139.84	146.0579088	C6H10O4	6	10	4	0.6666666666666666	1.6666666666666667	0.6666666666666666	0.5679158321244
G4	C1(C(C(CC(C1)O)O)O)=O	CZMTWXOIKCDEOJ	38.8472	-1.2127	-0.605	4	3	77.76	1.461	4	140.64	146.0579088	C6H10O4	6	10	4	0.6666666666666666	1.6666666666666667	0.6666666666666666	0.4575890700261186
G4	C1(C(C(C(C1)O)O)O)=O	SLBWSONHNKBIMR	58.6043	-1.5547	-0.335	4	3	77.76	1.5676	4	120.25	132.042258736	C5H8O4	5	8	4	0.8	1.6	0.8	0.8396890405573318
G4	C1(C(C(C(C1CO)O)O)O)=O	LKUVPWZWJWOYKB	53.457	-2.2121	0.012	5	4	97.99	0.4365	5	148.37	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	1.2242444430528143
G4	C(C1C(C(C(C1O)O)O)O)=O	FWWLBYLLLIZJAL	58.6087	-2.5681	-0.152	5	4	97.99	-2.9812	5	148.62	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	1.2254311213765596
G4	C1(C(C(C(C(C1)O)O)O)O)=O	GZYCZKBRQBKGJW	615.844	-2.0648	-0.206	5	4	97.99	1.6461	5	152.64	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	1.1151043592782783
G4	C(C1(C(CC(C1O)O)=O)O)=O	BESORNCBPBQUNJ	62.704	-2.3957	-0.152	5	3	94.83	-0.66444	5	142.04	160.037173356	C6H8O5	6	8	5	0.8333333333333334	1.3333333333333333	0.8333333333333334	0.9774729796709768
